hole_id,date,easting_x,northing_y,elevation,elev_topo,eoh,is_old,is_twin,inc_samp,elev_1
F09-197,"44250",404607.034,113774.441,561.028,,16,"1","0","19",587.232727050781
F09-198,"44481",404632.058,113751.45,560.678,,27.25,"1","0","27",584.731567382812
F09-199,"44250",404655.815,113773.742,552.389,,14.3,"1","0","18",575.279602050781
F09-200,"44480",404681,113749.913,550.233,,28.5,"1","0","36",573.261169433594
F09-201,"44250",404706.038,113775.972,540.35,,10,"1","0","11",563.744445800781
F09-202,"44480",404739.742,113745.737,543.686,,30,"1","0","34",562.949340820312
F09-203,"44250",404756.795,113774.549,540.185,,18.7,"1","0","19",556.396240234375
F09-228,"44481",404575.206,113699.407,591.734,,24,"1","0","25",607.339660644531
F09-229,"44250",404605.298,113718.114,575.394,,15,"1","0","16",592.676574707031
F09-230,"44481",404634.868,113684.341,574.34,,18.3,"1","0","21",594.579528808594
F09-231,"44250",404658.57,113720.748,562.384,,5.6,"1","0","7",581.771850585938
F09-232,"44480",404681.185,113697.628,561.815,,25.7,"1","0","29",582.517333984375
F09-233,"44250",404705,113726.424,550.951,,13,"1","0","16",572.275146484375
F09-234,"44480",404737.811,113695.289,552.96,,20,"1","0","24",573.674987792969
F09-235G,"44250",404752.496,113726.986,544.203,,16,"1","0","19",564.915588378906
F10-004,"44480",404587.795,113649.601,596.733,,13.3,"1","0","16",615.292358398438
F10-005,"44250",404611.276,113685.094,579.379,,9,"1","0","12",598.397155761719
F10-006,"44480",404635.131,113644.415,587.104,,23,"1","0","26",605.308288574219
F10-007,"44250",404654.538,113682.925,570.758,,15,"1","0","17",592.068054199219
F10-008,"44480",404681.4,113645.129,580.632,,14,"1","0","17",597.109924316406
F10-009,"44250",404706.743,113674.112,562.996,,12,"1","0","15",584.940795898438
F10-010,"44480",404734.762,113651.088,575.761,,12.7,"1","0","16",586.9716796875
F10-011,"44250",404761.943,113678.163,565.562,,17.85,"1","0","24",575.761535644531
E07-216i,"45274",404308.198,114542.703,426.751,,11,"0","0","11",448.024047851562
E07-214i,"45274",404263.628,114543.814,439.953,,15,"0","0","15",452.842407226562
E07-217i,"45274",404301.974,114569.749,425.814,,15,"0","0","16",440.049713134766
E07-214,"45274",404232.288,114552.977,441.896,,7.7,"0","0","10",454.694885253906
E07-215i,"45274",404280.433,114575.35,425.295,,15,"0","0","16",441.319213867188
E07-214R,"45274",404231.385,114552.425,442.039,,15,"0","0","17",454.694885253906
E07-213i,"45274",404240.542,114570.447,430.043,,15,"0","0","20",446.621704101562
E07-212i,"45274",404203.832,114559.434,447.08,,15,"0","0","16",459.196197509766
E07-182i,"45274",404263.945,114600.614,418.501,,15,"0","0","15",436.757049560547
E07-213,"45274",404211.908,114574.469,437.931,,15,"0","0","15",450.971496582031
E07-184i ,"45274",404300.795,114597.867,420.441,,15,"0","0","15",435.238494873047
E07-180i,"45274",404213.147,114586.754,430.816,,9,"0","0","10",445.351043701172
E07-186i,"45274",404327.303,114599.963,417.149,,16,"0","0","16",434.906921386719
E07-181i,"45274",404235.476,114624.136,411.15,,15,"0","0","15",434.279998779297
E07-188i,"45274",404347.097,114608.421,415.588,,15,"0","0","15",433.238006591797
E07-183i,"45274",404281.713,114624.181,414.008,,16,"0","0","16",432.397979736328
E07-187i,"45274",404351.738,114629.139,413.56,,15,"0","0","15",430.171020507812
E07-183A,"45274",404310.497,114625.365,416.248,,15,"0","0","16",431.872375488281
E07-153i ,"45274",404335.97,114674.747,408.395,,15,"0","0","15",424.080413818359
E07-185i,"45274",404330.162,114623.801,417.49,,15,"0","0","15",431.909149169922
E07-152i,"45274",404301.047,114646.864,410.417,,15,"0","0","15",428.656280517578
E07-151i ,"45274",404277.752,114672.667,410.672,,27,"0","0","27",424.608581542969
E07-150i,"45274",404256.671,114654.943,411.192,,18,"0","0","18",426.991516113281
E07-147i,"45274",404181.959,114673.007,408.811,,15,"0","0","15",424.129272460938
E07-148i,"45274",404204.862,114650.43,410.558,,15,"0","0","15",428.691436767578
E07-114i,"45274",404160.218,114688.853,407.29,,25,"0","0","26",420.310546875
E07-146i,"45274",404162.583,114656.491,410.023,,15,"0","0","15",428.352264404297
E07-116i,"45274",404211.737,114707.78,401.216,,21,"0","0","21",416.048645019531
