hole_id;date;easting_x;northing_y;elevation;elev_topo;eoh;is_old;is_twin;inc_samp
F09-098;44481;404534.456;113890.284;568.379;592.367981;27.55;1;0;38
F09-099;44249;404554.227;113919.672;558.645;583.2199707;13.7;1;0;15
F09-100;44389;404586.383;113895.46;554.499;579.2639771;16.8;1;0;20
F09-101;44252;404608.579;113923.754;545.646;566.8649902;10;1;0;12
F09-102;44389;404621.033;113890.149;542.792;566.5150146;13.7;1;0;14
F09-103;44252;404654.588;113926.304;537.182;555.3359985;7.3;1;0;10
F09-104;44480;404675.795;113888.521;527.709;553.1110229;18;1;0;20
F09-105;44251;404707.778;113927.831;520.947;545.3220215;11.6;1;0;14
F09-106;44480;404722.27;113894.426;523.222;543.684021;26.8;1;0;27
F09-107;44251;404755.642;113926.304;516.864;533.7550049;13;1;0;14
F09-129;44249;404508.791;113873.864;576.369;600.6459961;9.6;1;0;11
F09-130;44481;404537.921;113850.717;568.164;593.5839844;11.5;1;0;13
F09-131;44249;404557.72;113874.621;563.688;589.0620117;14;1;0;15
F09-132;44481;404580.006;113844.412;556.897;583.7910156;17;1;0;17
F09-133;44249;404605.794;113859.179;547.849;573.9539795;15.3;1;0;17
F09-134A;44480;404637.568;113824.89;546.531;570.7520142;30.4;1;0;36
F09-135;44249;404656.398;113876.439;535.397;558.7109985;17.8;1;0;22
F09-136;44480;404685.05;113847.851;537.261;557.0540161;23.5;1;0;33
F09-137;44249;404706.642;113878.945;528.226;548.7490234;20.35;1;0;21
F09-138;44480;404729.14;113850.541;535.17;548.03302;29;1;0;34
F09-139;44251;404751.78;113879.721;523.973;539.03302;13.4;1;0;16
F09-164;44481;404580.678;113788.365;565.635;591.9429932;30;1;0;32
F09-165;44249;404613.994;113820.9;549.617;575.8270264;11.8;1;0;14
F09-166;44481;404633.1;113794.913;553.501;576.1220093;29;1;0;39
F09-167;44249;404661.432;113823.389;543.945;565.6329956;17.35;1;0;22
F09-168;44481;404678.164;113795.466;546.124;566.1049805;24.2;1;0;30
F09-169;44249;404707.95;113827.718;539.151;556.1740112;4;1;0;5
F09-170;44480;404736.576;113792.06;539.381;555.7509766;29.6;1;0;32
F09-171;44250;404751.552;113807.609;535.822;550.8930054;12;1;0;13
