sample_id,hole_id,depth_from,depth_to,core_length,cr_%,ni,fe,mgo,sio2
B1/E07-029/JAS/02,E07-029,1,2,1,1,0.63,44.62,0.56,21.53
B1/E07-029/JAS/03,E07-029,2,2.6,0.6,1,0.68,35.77,0.51,29.12
B1/E07-029/JAS/04,E07-029,2.6,3,0.4,1,1.8,12.42,20.54,40.8
B1/E07-029/JAS/05,E07-029,3,4,1,1,1.49,9.22,26.34,42.37
B1/E07-029/JAS/06,E07-029,4,5,1,1,1.82,11.59,21.25,40.93
B1/E07-029/JAS/07,E07-029,5,6,1,1,1.07,21.57,15.18,33.96
B1/E07-029/JAS/08,E07-029,6,7,1,1,0.88,13.06,22.95,41.16
B1/E07-029/JAS/09,E07-029,7,8,1,1,0.47,9.01,25.84,43.88
B1/E07-029/JAS/10,E07-029,8,9,1,1,0.39,8.67,26.69,44.18
B1/E07-029/JAS/11,E07-029,9,10,1,1,0.35,7.96,29.59,46
B1/E07-029/JAS/12,E07-029,10,11,0.9,0.9,0.34,8.09,28.28,45.4
B1/E07-029/JAS/13,E07-029,11,11.7,0.7,1,0.31,7.65,27.86,44.56
B1/E07-029/JAS/14,E07-029,11.7,12.7,1,1,0.31,7.65,27.86,44.56
B1/E07-029/JAS/15,E07-029,12.7,13.7,1,1,0.31,7.65,27.86,44.56
B1/E07-030/JAS/01,E07-030,0,1,1,1,0.88,40.89,10.93,24
B1/E07-030/JAS/02,E07-030,1,2,1,1,1.7,26.68,14.95,31.07
B1/E07-030/JAS/03,E07-030,2,2.35,0.35,1,1.72,16.49,16.57,38.63
B1/E07-030/JAS/04,E07-030,2.35,3,0.65,1,1.66,11.3,21.13,41.49
B1/E07-030/JAS/05,E07-030,3,4,1,1,1.85,11.05,23.7,38.79
B1/E07-030/JAS/06,E07-030,4,5,1,1,1.63,11.85,21.13,39.79
B1/E07-030/JAS/07,E07-030,5,6,1,1,1.45,11.26,22.26,41.17
B1/E07-030/JAS/08,E07-030,6,7,1,1,0.83,8.65,27.66,42.99
B1/E07-030/JAS/09,E07-030,7,8,1,1,0.78,12.06,23.9,39.96
B1/E07-030/JAS/10,E07-030,8,9,1,1,0.41,9.34,28.15,43.01
B1/E07-030/JAS/11,E07-030,9,10,1,1,0.31,6.68,33.74,44.16
B1/E07-030/JAS/12,E07-030,10,10.65,0.65,1,0.31,6.87,33.26,44.12
B1/E07-030/JAS/13,E07-030,10.65,11.2,0.55,1,0.26,5.66,36.44,42.87
B1/E07-030/JAS/14,E07-030,11.2,12,0.8,1,0.28,6.74,34.17,43.97
B1/E07-030/JAS/15,E07-030,12,13,1,1,0.27,5.96,35.05,44.67
B1/E07-030/JAS/16,E07-030,13,13.2,0.2,1,0.29,6.12,34.63,44.38
B1/E07-030/JAS/17,E07-030,13.2,14.2,1,1,0.26,5.86,36.16,42.96
B1/E07-030/JAS/18,E07-030,14.2,15,0.8,1,0.25,5.34,39.08,43.54
B1/E07-030/JAS/19,E07-030,15,15.6,0.6,1,0.25,5.27,39.08,43.34
B1/E07-030/JAS/20,E07-030,15.6,16.1,0.5,1,0.27,5.99,37.8,42.53
B1/E07-030/JAS/21,E07-030,16.1,16.6,0.5,1,0.27,6.15,37.35,42.46
B1/E07-030/JAS/22,E07-030,16.6,17.4,0.8,1,0.28,6.55,36.13,42.62
B1/E07-030/JAS/23,E07-030,17.4,18.25,0.85,1,0.27,6.35,36.75,41.1
B1/E07-030/JAS/24,E07-030,18.25,19,0.75,1,0.27,6.19,35.95,43.12
B1/E07-030/JAS/25,E07-030,19,20,1,1,0.27,6.33,35.49,43.31
B1/E07-030/JAS/26,E07-030,20,21,1,1,0.29,6.4,35.73,42.68
B1/E07-030/JAS/27,E07-030,21,21.3,0.3,1,0.28,5.95,36.73,43.18
B1/E07-030/JAS/28,E07-030,21.3,21.65,0.35,1,0.27,6.04,36.9,43.03
B1/E07-030/JAS/29,E07-030,21.65,22.1,0.45,1,0.27,5.67,40.54,43.56
B1/E07-030/JAS/30,E07-030,22.1,22.5,0.4,1,0.27,5.67,40.54,43.56
B1/E07-031/JAS/01,E07-031,0,1,1,1,0.33,30.02,5.25,26.98
B1/E07-031/JAS/02,E07-031,1,2,1,1,0.58,37.18,1.27,23.02
B1/E07-031/JAS/03,E07-031,2,3,1,1,1.1,48.19,0.63,21.01
B1/E07-031/JAS/04,E07-031,3,4,1,1,1.09,54.44,0.44,22.92
B1/E07-031/JAS/05,E07-031,4,5,1,1,1.91,18.02,11.7,37.61
B1/E07-031/JAS/06,E07-031,5,6,1,1,1.87,10.13,21.7,41.04
B1/E07-031/JAS/07,E07-031,6,7,1,1,1.98,10.62,20.14,41.41
B1/E07-031/JAS/08,E07-031,7,8,1,1,1.76,21.6,11.55,36.66
B1/E07-031/JAS/09,E07-031,8,9,1,1,1.64,29.26,3.37,33.61
B1/E07-031/JAS/10,E07-031,9,10,1,1,1.55,19.04,14.75,37.91
B1/E07-031/JAS/11,E07-031,10,11,1,1,1.92,21.63,10.94,35.83
B1/E07-031/JAS/12,E07-031,11,12,1,1,1.42,15.1,14.72,42.91
B1/E07-031/JAS/13,E07-031,12,13,1,1,1.34,15.57,14.67,41.83
B1/E07-031/JAS/14,E07-031,13,14,1,1,0.98,14.34,19.36,41.06
B1/E07-031/JAS/15,E07-031,14,15,1,1,0.69,10.86,22.8,42.72
B1/E07-031/JAS/16,E07-031,15,16,1,1,0.42,8.68,25.48,45.11
B1/E07-031/JAS/17,E07-031,16,17,1,1,0.42,8.89,24.7,45.42
B1/E07-031/JAS/18,E07-031,17,18,1,1,0.4,8.2,26.97,45.03
B1/E07-031/JAS/19,E07-031,18,19,1,1,0.4,8.2,26.97,45.03
B1/E07-031/JAS/20,E07-031,19,20,1,1,0.4,8.2,26.97,45.03
B1/E07-032/JAS/01,E07-032,0,1,1,1,0.87,31.09,11.4,27.64
B1/E07-032/JAS/02,E07-032,1,2,1,1,1.75,20.96,15.14,39.31
B1/E07-032/JAS/03,E07-032,2,3,1,1,1.82,21.11,16.33,40.8
B1/E07-032/JAS/04,E07-032,3,4,1,1,1.57,18.78,15.09,41.8
B1/E07-032/JAS/05,E07-032,4,5,1,1,1.95,16.59,15.09,41.56
B1/E07-032/JAS/06,E07-032,5,6,1,1,1.71,19.24,20.34,41.12
B1/E07-032/JAS/07,E07-032,6,6.4,0.4,1,1.42,20.96,23.21,43.96
B1/E07-032/JAS/08,E07-032,6.4,7,0.6,1,1.16,17.8,23.15,43.95
B1/E07-032/JAS/09,E07-032,7,8,1,1,1.05,15.43,18.31,43.11
B1/E07-032/JAS/10,E07-032,8,9,1,1,0.73,11.9,24.59,42.2
B1/E07-032/JAS/11,E07-032,9,9.65,0.65,1,0.63,11.64,25.5,42.59
B1/E07-032/JAS/12,E07-032,9.65,10,0.35,1,0.47,10.55,26.78,42.18
B1/E07-032/JAS/13,E07-032,10,11,1,1,0.34,8.22,32.68,43.44
B1/E07-032/JAS/14,E07-032,11,11.25,0.25,1,0.35,7.99,30.56,43.17
B1/E07-032/JAS/15,E07-032,11.25,11.7,0.45,1,0.31,7.17,32.26,44
