sample_id,hole_id,depth_from,depth_to,core_length,cr_%,lith
B1/E07-052/JAS/16,E07-052,13,13.6,0.6,1,RSAP
B1/E07-052/JAS/17,E07-052,13.6,14.6,1,1,BLD
B1/E07-052/JAS/18,E07-052,14.6,15,0.4,1,RSAP
B1/E07-052/JAS/19,E07-052,15,16,1,1,RSAP
B1/E07-052/JAS/20,E07-052,16,17,1,1,RSAP
B1/E07-052/JAS/21,E07-052,17,17.5,0.5,1,RSAP
B1/E07-052/JAS/22,E07-052,17.5,18.5,1,1,BLD
B1/E07-052/JAS/23,E07-052,18.5,19,0.5,1,RSAP
B1/E07-052/JAS/24,E07-052,19,20,1,1,RSAP
B1/E07-052/JAS/25,E07-052,20,21,1,1,RSAP
B1/E07-052/JAS/26,E07-052,21,22,1,1,RSAP
B1/E07-052/JAS/27,E07-052,22,23,1,1,RSAP
B1/E07-052/JAS/28,E07-052,23,24,1,1,RSAP
B1/E07-052/JAS/29,E07-052,24,25,1,1,RSAP
B1/E07-052/JAS/30,E07-052,25,26,1,1,RSAP
B1/E07-052/JAS/31,E07-052,26,26.5,0.5,1,RSAP
B1/E07-053/JAS/01,E07-053,0,1,1,1,LIM
B1/E07-053/JAS/02,E07-053,1,2,1,1,LIM
B1/E07-053/JAS/03,E07-053,2,3,1,1,LIM
B1/E07-053/JAS/04,E07-053,3,4,1,1,LIM
B1/E07-053/JAS/05,E07-053,4,5,1,1,LIM
B1/E07-053/JAS/06,E07-053,5,6,1,1,LIM
B1/E07-053/JAS/07,E07-053,6,7,1,1,LIM
B1/E07-053/JAS/08,E07-053,7,8,1,1,SAP
B1/E07-053/JAS/09,E07-053,8,9,0.9,0.9,SAP
B1/E07-053/JAS/10,E07-053,9,10,1,1,SAP
B1/E07-053/JAS/11,E07-053,10,11,0.46,0.46,SAP
B1/E07-053/JAS/12,E07-053,11,12,0.75,0.75,SAP
B1/E07-053/JAS/13,E07-053,12,13,1,1,SAP
B1/E07-053/JAS/14,E07-053,13,14,1,1,RSAP
B1/E07-053B/JAS/01,E07-053B,0,1,1,1,LIM
B1/E07-053B/JAS/02,E07-053B,1,2,1,1,LIM
B1/E07-053B/JAS/03,E07-053B,2,3,1,1,LIM
B1/E07-053B/JAS/04,E07-053B,3,4,1,1,LIM
B1/E07-053B/JAS/05,E07-053B,4,5,1,1,LIM
B1/E07-053B/JAS/06,E07-053B,5,6,1,1,LIM
B1/E07-053B/JAS/07,E07-053B,6,7,1,1,LIM
B1/E07-053B/JAS/08,E07-053B,7,8,1,1,LIM
B1/E07-053B/JAS/09,E07-053B,8,9,1,1,LIM
B1/E07-053B/JAS/10,E07-053B,9,10,1,1,SAP
B1/E07-053B/JAS/11,E07-053B,10,11,1,1,SAP
B1/E07-053B/JAS/12,E07-053B,11,12,1,1,SAP
B1/E07-053B/JAS/13,E07-053B,12,12.3,0.3,1,BLD
B1/E07-053B/JAS/14,E07-053B,12.3,13,0.7,1,RSAP
B1/E07-053B/JAS/15,E07-053B,13,14,1,1,RSAP
B1/E07-053B/JAS/16,E07-053B,14,15,1,1,RSAP
B1/E07-053B/JAS/17,E07-053B,15,16,1,1,RSAP
B1/E07-053B/JAS/18,E07-053B,16,17,1,1,RSAP
B1/E07-053B/JAS/19,E07-053B,17,18,1,1,RSAP
B1/E07-053B/JAS/20,E07-053B,18,19,1,1,RSAP
